response,Dimens,AG_BG,Ecos_Function,Tr_Group,Trophic_level,flux_out_stock,flux_in_stock,Explanations to response
o_Plants,flow,AG,Carbon_uptake,NA,NA,NA,AG.Plants,Carbon uptake from environment (o) to Plants
Plants_AG.Herbivores,flow,AG,Herbivory,NA,NA,AG.Plants,AG.Herbivores,Herbivory by AG Herbivores
AG.Herbivores_AG.Carnivores,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Carnivores,Predation of AG Herbivores by AG Carnivores
AG.Decomposers_AG.Carnivores,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Carnivores,Predation of AG Decomposers by AG Carnivores
Plants_AG.Omnivores,flow,AG,Herbivory,NA,NA,AG.Plants,AG.Omnivores,Herbivory by AG Omnivores
AG.Herbivores_AG.Omnivores,flow,AG,Predation,NA,NA,AG.Herbivores,AG.Omnivores,Predation of AG Herbivores by AG Omnivores
AG.Decomposers_AG.Omnivores,flow,AG,Predation,NA,NA,AG.Decomposers,AG.Omnivores,Predation of AG Decomposers by AG Omnivores
AG.Litter_AG.Omnivores,flow,AG,Decomposition,NA,NA,AG.Litter,AG.Omnivores,Decomposition by AG Omnivores
AG.Litter_AG.Decomposers,flow,AG,Decomposition,NA,NA,AG.Litter,AG.Decomposers,Decomposition by AG Decomposers
BG.Herbivores_BG.Carnivores,flow,BG,Predation,NA,NA,BG.Herbivores,BG.Carnivores,Predation of BG Herbivores by BG Carnivores
BG.Decomposers_BG.Carnivores,flow,BG,Predation,NA,NA,BG.Decomposers,BG.Carnivores,Predation of BG Decomposers by BG Carnivores
Plants_BG.Herbivores,flow,BG,Herbivory,NA,NA,BG.Plants,BG.Herbivores,Herbivory by BG Herbivores
SOM_BG.Decomposers,flow,BG,Decomposition,NA,NA,SOM,BG.Decomposers,Decomposition by BG Decomposers
Plants_BG.Omnivores,flow,BG,Herbivory,NA,NA,BG.Plants,BG.Omnivores,Herbivory by BG Omnivores
BG.Herbivores_BG.Omnivores,flow,BG,Predation,NA,NA,BG.Herbivores,BG.Omnivores,Predation of BG Herbivores by BG Omnivores
BG.Decomposers_BG.Omnivores,flow,BG,Predation,NA,NA,BG.Decomposers,BG.Omnivores,Predation of BG Decomposers by BG Omnivores
SOM_BG.Omnivores,flow,BG,Decomposition,NA,NA,SOM,BG.Omnivores,Decomposition by BG Omnivores
Soil.Microorganisms_BG.Omnivores,flow,BG,Predation,NA,NA,Soil.Microorganisms,BG.Omnivores,Predation of soil microorganisms by BG Omnivores
Plants_SOM,flow,BG,Detritus_production,NA,NA,BG.Plants,SOM,Plant root mortality
BG.Carnivores_SOM,flow,BG,Detritus_production,NA,NA,BG.Carnivores,SOM,Excretion and natural mortality of 
BG.Herbivores_SOM,flow,BG,Detritus_production,NA,NA,BG.Herbivores,SOM,Excretion and natural mortality of BG Herbivores
BG.Decomposers_SOM,flow,BG,Detritus_production,NA,NA,BG.Decomposers,SOM,Excretion and natural mortality of BG Decomposers
BG.Omnivores_SOM,flow,BG,Detritus_production,NA,NA,BG.Omnivores,SOM,Excretion and natural mortality of BG Omnivores
AG.Litter_SOM,flow,BG,Detritus_production,NA,NA,AG.Litter,SOM,Fauna burial activity (mechanical transfer and transformation of aboveground into belowground subnetwork)
Soil.Microorganisms_SOM,flow,BG,Detritus_production,NA,NA,Soil.Microorganisms,SOM,Excretion and natural mortality of soil microorganisms
Plants_AG.Litter,flow,AG,Detritus_production,NA,NA,AG.Plants,AG.Litter,Plant aboveground mortality
AG.Herbivores_AG.Litter,flow,AG,Detritus_production,NA,NA,AG.Herbivores,AG.Litter,Excretion and natural mortality of AG Herbivores
AG.Carnivores_AG.Litter,flow,AG,Detritus_production,NA,NA,AG.Carnivores,AG.Litter,Excretion and natural mortality of AG Carnivores
AG.Omnivores_AG.Litter,flow,AG,Detritus_production,NA,NA,AG.Omnivores,AG.Litter,Excretion and natural mortality of AG Omnivores
